Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus
BrokenLore: Follow,Main Game,2026-06-01,Serafini Productions,Serafini Productions,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Adventure,"Action, Horror, Thriller",,https://www.youtube.com/watch?v=tuk_zCR25ZQ,29752,831,2026-03-13,PC Game (on Steam)
Redstream Dispatch,Main Game,2026-06-01,Glacier LTD,Glacier LTD,"PC (Microsoft Windows), PlayStation 5",Shooter,"Action, Horror, Thriller, Mystery","serial killer, police, crime, cosmic horror, police simulator, abuse, bodycam, dismemberment, redstream, hatred, goregame",https://www.youtube.com/watch?v=7qGeTmkYEo0,42,2,2026-03-30,PC Game (on Steam)
Vapor World: Over the Mind,Main Game,2026-06-01,Alive Game Studios,SK Telecom,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Role-playing (RPG), Adventure, Indie","Action, Sandbox",,https://www.youtube.com/watch?v=FNwyqzYc3so,34552,924,2026-04-23,PC Game (on Steam)
Metal Shoot,Main Game,2026-06-01,Head Bear Games,"Head Bear Games, y-zo studio","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One","Shooter, Platform, Adventure",Action,,https://www.youtube.com/watch?v=fFhdUZje9dQ,4,2,2026-05-31,Console / Other
Tale of Dark Lands,Main Game,2026-06-01,,,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Role-playing (RPG), Adventure, Indie",Action,low-poly,N/A,N/A,N/A,N/A,Console / Other
Honkai: Star Rail - The Lethe Below the Living,Unknown,2026-06-01,"HoYoverse, Cognosphere","HoYoverse, Cognosphere","Android, PC (Microsoft Windows), iOS, PlayStation 5","Role-playing (RPG), Turn-based strategy (TBS)","Action, Fantasy",,https://www.youtube.com/watch?v=lW5ndcGuw2c,2033841,18553,2026-05-22,Non-Steam PC Game
Deer & Boy,Main Game,2026-06-01,Lifeline Entertainment,Lifeline Entertainment,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Platform, Puzzle, Adventure, Indie","Action, Stealth, Mystery","magic, 2d, cinematic, atmospheric",https://www.youtube.com/watch?v=iWcppCI6F0A,1591,63,2026-05-27,PC Game (on Steam)
Hell Clock,Main Game,2026-06-02,Rogue Snail,Mad Mushroom Publishing,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Indie","Action, Fantasy","roguelike, dungeon crawling, based on - true story, arpg, nextfest june 2025",https://www.youtube.com/watch?v=royrksh3vUw,3459,155,2026-04-24,Console / Other
Neverness to Everness: Dreamwalk Corridor,Unknown,2026-06-03,Hotta Studio,"Iwplay World Interactive Entertainment, Perfect World Games","Android, PC (Microsoft Windows), iOS, PlayStation 5, Mac","Role-playing (RPG), Adventure","Action, Fantasy, Open world",,https://www.youtube.com/watch?v=7YFVW-3joio,197877,5387,2026-05-24,Non-Steam PC Game
Tour de France 2026,Main Game,2026-06-04,Cyanide Studio,Nacon,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Racing, Simulator, Sport, Strategy",,realism,https://www.youtube.com/watch?v=nRlubkHI0oI,3784,77,2026-05-07,PC Game (on Steam)
River City Saga: Journey to the West,Main Game,2026-06-04,,Arc System Works,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Hack and slash/Beat 'em up,"Action, Comedy","roguelike, journey to the west",N/A,N/A,N/A,N/A,PC Game (on Steam)
Hollowbody,Main Game,2026-06-04,Headware Games,Headware Games,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Shooter, Puzzle, Adventure, Indie","Horror, Survival","post-apocalyptic, exploration, cyberpunk, dystopian, resource management, female protagonist, backtracking, atmospheric, survival horror, combat, fixed camera, tech-noir",https://www.youtube.com/watch?v=GEir00GBvMw,8541,242,2026-05-07,Console / Other
Goals,Main Game,2026-06-04,Goals,Goals,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Mac",Sport,"Action, Non-fiction",,https://www.youtube.com/watch?v=WNeTDggPikw,258919,1902,2026-03-05,PC Game (on Steam)
Solarpunk,Main Game,2026-06-08,Cyberwave,"rokaplay, Metaroot","Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Simulator, Adventure, Indie","Survival, Sandbox",nextfest february 2025,https://www.youtube.com/watch?v=8cAWyWANfJ8,12650,623,2026-05-29,PC Game (on Steam)
Mel The Pyramid Cat,Main Game,2026-06-08,Ember Box Studio,"Ember Box Studio, y-zo studio","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One",Platform,,,N/A,N/A,N/A,N/A,Console / Other
Mind The Crates,Main Game,2026-06-08,CraePlay,GGmuks Inc.,"PlayStation 4, PlayStation 5",Puzzle,,,N/A,N/A,N/A,N/A,Console / Other
